time,conc,concm,conc_ave
0.0,0.0,0.0,0.0
0.0,3.538746275669314e-66,1.5610453669825633e-69,2.3541562306048349e-66
0.18346218751606877,2.793427068689506e-64,1.2478335687589653e-67,1.858336732558853e-64
0.36692437503213754,1.1096384405794216e-62,5.019407298881777e-66,7.381927936046044e-63
0.5503865625482063,2.9574662631773094e-61,1.3546919208788536e-64,1.9674756035388892e-61
0.7338487500642751,5.949820195796828e-60,2.759766583713409e-63,3.9581720000814443e-60
0.9173109375803439,9.637431492658238e-59,4.52663363895596e-62,6.411407844450208e-59
1.1007731250964126,1.3092416393885908e-57,6.226972396792861e-61,8.709900719070902e-58
1.2842353126124815,1.5343080583015338e-56,7.389416326680332e-60,1.0207215224703324e-56
1.4676975001285502,1.5834088402281889e-55,7.721971910408604e-59,1.0533897741540525e-55
1.6511596876446188,1.4618381006523322e-54,7.218865502317292e-58,9.725157696983179e-55
1.8346218751606878,1.2224319020232864e-53,6.112594756847711e-57,8.132487589927856e-54
2.0180840626767567,9.352600971123997e-53,4.73544854844832e-56,6.2220359258498515e-53
2.201546250192825,6.601229474411997e-52,3.3843686506902076e-55,4.391635935400694e-52
2.385008437708894,4.3283915445126584e-51,2.2469821288966318e-54,2.879581983111315e-51
2.568470625224963,2.6522410551556924e-50,1.3941267006806446e-53,1.7644823775675353e-50
2.7519328127410314,1.5265238194614698e-49,8.124651470585511e-53,1.0155688187225862e-49
2.9353950002571003,8.289544179006496e-49,4.4672395344429134e-52,5.514903037509642e-49
3.1188571877731692,4.263749774554823e-48,2.3265000724516913e-51,2.836615129325508e-48
3.3023193752892377,2.0844417074136863e-47,1.1515930314211762e-50,1.3867556746504153e-47
3.4857815628053066,9.715492303762279e-47,5.434592026412317e-50,6.463630455028746e-47
3.6692437503213755,4.329313399739054e-46,2.4519340172779127e-49,2.8802637501030852e-46
3.852705937837444,1.8489996792717135e-45,1.0602512034804547e-48,1.2301317071851422e-45
4.036168125353513,7.585800295309987e-45,4.404026330722643e-48,5.046819166760436e-45
4.219630312869582,2.995767598419426e-44,1.760870330624496e-47,1.99308599312308e-44
4.40309250038565,1.1409741042394197e-43,6.789844158434559e-47,7.590935524925831e-44
4.586554687901719,4.198131291161925e-43,2.52928996435116e-46,2.7930399430770943e-43
4.770016875417788,1.4946555111911694e-42,9.116663820662847e-46,9.944063092894747e-43
4.953479062933857,5.1566869596479975e-42,3.184280313758424e-45,3.4307982731144204e-42
5.136941250449926,1.7263857345830802e-41,1.0792382762320291e-44,1.1485870706337e-41
5.320403437965994,5.615561958664787e-41,3.553896794182833e-44,3.7361215420413967e-41
5.503865625482063,1.7768474608014818e-40,1.1383786936347615e-43,1.1821691602207261e-40
5.687327812998132,5.475046991294011e-40,3.5509311673993915e-43,3.6426635161765614e-40
5.870790000514201,1.644579350785441e-39,1.0797410741272217e-42,1.0941775058232606e-39
6.0542521880302695,4.820273375013383e-39,3.203607304439987e-42,3.207054806665649e-39
6.2377143755463385,1.3798551993534337e-38,9.283167813195204e-42,9.180577667583907e-39
6.421176563062407,3.8611111547825856e-38,2.6294333969979835e-41,2.568920121907004e-38
6.604638750578475,1.0569603955156038e-37,7.285975559475606e-41,7.03232334450331e-38
6.788100938094544,2.8327216435835854e-37,1.976531797979284e-40,1.8847157402428797e-37
6.971563125610613,7.438083628306699e-37,5.253194720312086e-40,4.948856639895307e-37
7.155025313126682,1.914814947407407e-36,1.3688102968547823e-39,1.2740090245593955e-36
7.338487500642751,4.835957432228182e-36,3.4990025598119076e-39,3.21758525880265e-36
7.52194968815882,1.198933697375084e-35,8.779978839443522e-39,7.977093444936088e-36
7.705411875674888,2.919569828974261e-35,2.1639374869552742e-38,1.9425415560802977e-35
7.888874063190957,6.987073292190455e-35,5.241306644040638e-38,4.6488839897082267e-35
8.072336250707027,1.6442005682855644e-34,1.2482691430639102e-37,1.093982015576733e-34
8.255798438223096,3.8064230219463554e-34,2.9246255447334195e-37,2.5326456980455183e-34
8.439260625739164,8.673449128782959e-34,6.744275444737729e-37,5.771002232639225e-34
8.622722813255233,1.9461648041167982e-33,1.5314529517060877e-36,1.2949144004466316e-33
8.8061850007713,4.3020171942722196e-33,3.4258391873349975e-36,2.8624350984828643e-33
8.98964718828737,9.372447072991255e-33,7.552812254630919e-36,6.236179167280848e-33
9.173109375803438,2.013251691484445e-32,1.6417407443904198e-35,1.339571076235568e-32
9.356571563319507,4.2655597939802624e-32,3.5198420498656165e-35,2.838218625790349e-32
9.540033750835576,8.917615322614476e-32,7.446054617750891e-35,5.933633108653285e-32
9.723495938351645,1.8402278620830675e-31,1.5547802437097129e-34,1.2244631545365634e-31
9.906958125867714,3.74967821434582e-31,3.205537117830303e-34,2.494998589560941e-31
10.090420313383783,7.5467429174178705e-31,6.527774183232988e-34,5.021553193170169e-31
10.273882500899852,1.500743507686565e-30,1.3134091635024657e-33,9.985900007782896e-31
10.45734468841592,2.949631852380123e-30,2.6117916157827434e-33,1.9626859054503467e-30
10.640806875931988,5.731545825036926e-30,5.134624047122937e-33,3.8137922269143734e-30
10.824269063448057,1.101391959629321e-29,9.98237509189599e-33,7.328742360710493e-30
11.007731250964126,2.0936177143244358e-29,1.9196997006226457e-32,1.3931159073572278e-29
11.191193438480195,3.9377959859046344e-29,3.652765440261008e-32,2.620266201234106e-29
11.374655625996263,7.330277334451577e-29,6.87876185872913e-32,4.877698665171255e-29
11.558117813512332,1.3508471281233711e-28,1.2823480306745628e-31,8.988829533405885e-29
